epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3424.19,0.67188,1.07825,0.82644,0.85635,0.74522,0.84646,0.68259,0.68743,2.36792,0.84259,0.00091134,0.00091134,0.00091134
43,3504.03,0.71979,1.08639,0.84616,0.89602,0.76941,0.90619,0.72565,0.73455,2.32955,0.84485,0.0009146,0.0009146,0.0009146
44,3582.32,0.71397,1.03802,0.85353,0.72839,0.78571,0.72769,0.59715,0.65997,2.24675,0.83841,0.00091698,0.00091698,0.00091698
45,3657.46,0.63033,0.99971,0.82181,0.95802,0.81517,0.93678,0.78799,0.63207,2.25915,0.83721,0.00091848,0.00091848,0.00091848
46,3732.6,0.68124,0.99942,0.84927,0.95802,0.81517,0.93678,0.78799,0.63207,2.25915,0.83721,0.0009191,0.0009191,0.0009191
47,3809.94,0.78809,1.08081,0.88657,0.89919,0.79648,0.89259,0.76368,0.63008,2.21634,0.84223,0.00091884,0.00091884,0.00091884
48,3888.96,0.70907,1.08283,0.83617,0.93596,0.78296,0.89225,0.74848,0.68001,2.10267,0.83999,0.0009177,0.0009177,0.0009177
49,3966.14,0.68306,0.89376,0.82637,0.93596,0.78296,0.89225,0.74848,0.68001,2.10267,0.83999,0.00091568,0.00091568,0.00091568
50,4045.46,0.70286,0.95251,0.83675,0.97873,0.875,0.95283,0.80701,0.6195,1.93626,0.83131,0.00091278,0.00091278,0.00091278
51,4125.89,0.73788,0.97055,0.85399,0.97994,0.87259,0.9603,0.82223,0.57308,1.86694,0.82708,0.0009,0.0009,0.0009
52,4203.04,0.62611,0.87635,0.81579,0.97994,0.87259,0.9603,0.82223,0.57308,1.86694,0.82708,0.000878,0.000878,0.000878
53,4283.9,0.657,0.8729,0.81432,0.97994,0.87236,0.96867,0.82171,0.56326,1.81982,0.82674,0.000856,0.000856,0.000856
